query_id,difficulty,required_disease,required_tissue,required_cell_type,required_organism,required_modality,required_design,required_comparison_groups,required_time_treatment_or_dose,must_not_contain_or_condition,known_relevant_gse,accession_evidence_url,why_this_query_is_realistic,criteria_author,date_written,results_not_seen_yes,notes
S11,simple,inflammatory bowel disease,,,,metagenomics,,,,,,,Metagenomic profiling is commonly used to study gut-microbiome changes in inflammatory bowel disease,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S12,simple,sepsis,plasma,,Homo sapiens,mass-spectrometry-based quantitative proteomics,,,,,,,Plasma proteomics is a common strategy for identifying sepsis-associated host-response markers,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S13,simple,hepatocellular carcinoma,liver tumor,,,DNA methylation profiling,promoter-region methylation profiling,,,,,,Promoter methylation is frequently studied in hepatocellular carcinoma,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S14,simple,glioblastoma,glioblastoma tumor microenvironment,,Homo sapiens,Visium spatial transcriptomics,,,,,,,Visium is widely used to map spatial heterogeneity in glioblastoma,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S15,simple,,,hepatocytes,,transcriptomics,,,after acetaminophen treatment,,,,Hepatocyte transcriptomics is routinely used to study acetaminophen response and toxicity,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S16,simple,aging,dermis,dermal fibroblasts,Homo sapiens,single-cell RNA-seq,,,,,,,Dermal fibroblasts are commonly used to study cell-state changes associated with human aging,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S17,simple,,endometrium,,Homo sapiens,single-cell transcriptomics,,,across the menstrual cycle,,,,Endometrial cell states change across the menstrual cycle and are commonly profiled at single-cell resolution,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S18,simple,PM2.5 exposure,lung epithelium,lung epithelial cells,Homo sapiens,gene-expression profiling,,,after PM2.5 exposure,,,,Airway and lung epithelial transcriptomes are established models of particulate-matter exposure,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S19,simple,heart regeneration,heart,,Danio rerio,single-cell transcriptomics,,,during heart regeneration,,,,Zebrafish heart regeneration is a widely used non-human model for single-cell atlas studies,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S20,simple,triple-negative breast cancer,breast tumor,,,spatial transcriptomics,,,,,,,Spatial transcriptomics is well suited to heterogeneous triple-negative breast tumors,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M01,medium,Parkinson's disease,substantia nigra,dopaminergic neurons,Homo sapiens,single-cell RNA-seq,,,,,,,Substantia-nigra dopaminergic neurons are a central cell population in Parkinson's disease,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M02,medium,glioblastoma,tumor core|infiltrative margin,,,spatial transcriptomics|single-nucleus RNA-seq,multimodal regional profiling,tumor core|infiltrative margin,,,,,Core-to-margin sampling is used to study glioblastoma infiltration and spatial heterogeneity,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M03,medium,multiple myeloma,bone marrow,immune cells,Homo sapiens,single-cell immune profiling,,,,,,,The bone-marrow immune microenvironment is central to multiple-myeloma biology,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M04,medium,systemic lupus erythematosus,skin lesions,CD4-positive T-cell subsets,,single-cell RNA sequencing,,,,,,,Cutaneous lupus lesions contain disease-associated CD4 T-cell states suitable for single-cell analysis,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M05,medium,tuberculosis,lung tissue,,Mycobacterium tuberculosis,dual RNA-seq,host-pathogen joint profiling,,Mycobacterium tuberculosis infection,,,,Dual RNA-seq can jointly characterize host and bacterial transcription in tuberculosis,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M06,medium,HIV-1 infection,lymph-node biopsy,,,spatial transcriptomics,,,,,,,Lymphoid tissues are a major site of persistent HIV and spatial immune regulation,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M07,medium,severe obesity|type 2 diabetes,subcutaneous adipose tissue,,Homo sapiens,bulk transcriptomics|single-nucleus transcriptomics,,,,,,,Adipose tissue is commonly profiled to study metabolic dysfunction in obesity and type 2 diabetes,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M08,medium,atherosclerosis,atherosclerotic plaque,vascular endothelial cells,,single-cell RNA sequencing,,,,,,,Endothelial heterogeneity is a major component of atherosclerotic-plaque biology,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M09,medium,,embryonic heart,,Homo sapiens,spatial gene-expression profiling,developmental-stage profiling,embryonic-heart stages,across developmental stages,,,,Spatial data can resolve changing gene-expression programs during human heart development,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M10,medium,Huntington's disease,peripheral blood,peripheral-blood mononuclear cells,Homo sapiens,single-cell RNA-seq,,,,,,,Peripheral immune-cell profiles are a plausible accessible readout in Huntington's disease cohorts,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M11,medium,ulcerative colitis,mucosal biopsy,,Homo sapiens,host transcriptomics|microbiome profiling,paired host-microbiome profiling,,,,,,Paired mucosal host and microbiome measurements have been used to study ulcerative colitis,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M12,medium,postoperative delirium,cerebrospinal fluid,,Homo sapiens,aptamer-based proteomics,matched case-control,postoperative-delirium cases|matched controls,,,,,Aptamer-based CSF proteomics has been used in matched postoperative-delirium cohorts,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M13,medium,prostate cancer,prostate tumor,,,single-cell ATAC-seq|single-cell RNA-seq,integrated chromatin and transcriptome profiling,,,,,,Joint chromatin-accessibility and transcriptome profiling is widely used in prostate-cancer studies,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M14,medium,pancreatic ductal adenocarcinoma,pancreatic tumor,,Homo sapiens,single-nucleus RNA-seq|multiplexed ion-beam imaging,paired molecular and spatial imaging,,,,,,PDAC studies have combined nuclear transcriptomes with multiplexed spatial protein imaging,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M15,medium,cisplatin-resistant ovarian cancer,ovarian-cancer cell lines,ovarian-cancer cells,Homo sapiens,single-cell transcriptomics,drug-resistance model profiling,,,,,,Single-cell profiling can resolve heterogeneous resistance states in ovarian-cancer cell lines,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M16,medium,aging,hippocampus,,Homo sapiens,single-nucleus RNA-seq,cross-age profiling,age strata,across aging,,,,Single-nucleus RNA-seq is suitable for postmortem human hippocampal tissue across age groups,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M17,medium,preeclampsia,placenta,trophoblast populations,Homo sapiens,single-nucleus RNA-seq,,,,,,,Single-nucleus methods can recover placental trophoblast populations that are difficult to capture intact,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M18,medium,electronic-cigarette vapor exposure,airway epithelium,airway epithelial cells,,transcriptomics,environmental-exposure profiling,,after electronic-cigarette vapor exposure,,,,Airway epithelial models are routinely used to study transcriptional responses to inhaled exposures,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M19,medium,,intestinal organoids,intestinal-stem-cell-derived organoid cells,Mus musculus,single-cell RNA-seq,,,,,,,Mouse intestinal stem-cell organoids are established systems for single-cell cell-state mapping,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
M20,medium,melanoma,melanoma tumor,tumor-infiltrating lymphocytes,,spatial transcriptomics|single-cell RNA-seq,,,,,,,Spatial and single-cell measurements can jointly characterize melanoma-infiltrating lymphocytes,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C01,complex,glioblastoma,glioblastoma tissue|non-neoplastic cerebral cortex,,Homo sapiens,single-cell RNA-seq,case-control,glioblastoma cases|epilepsy-surgery non-neoplastic controls,,,,,Non-neoplastic cortical tissue from epilepsy surgery can provide a biologically plausible comparison group,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C02,complex,hepatocellular carcinoma,liver tumor|adjacent normal liver,,Homo sapiens,single-cell transcriptomics,within-patient paired sampling,tumor|matched adjacent normal,,,,,Paired tumor and adjacent liver samples are a common design in hepatocellular-carcinoma studies,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C03,complex,melanoma,melanoma tumor,,Mus musculus,RNA-seq,treatment versus control,anti-PD-1-treated|vehicle control,anti-PD-1 treatment,,,,Mouse melanoma experiments commonly compare checkpoint blockade with vehicle controls,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C04,complex,breast cancer,breast tumor,,Homo sapiens,single-cell RNA sequencing,paired pre-post treatment,before neoadjuvant chemotherapy|after neoadjuvant chemotherapy,neoadjuvant chemotherapy,,,,Neoadjuvant breast-cancer studies commonly collect tissue before and after therapy,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C05,complex,non-small-cell lung cancer,lung tumor,immune cells,Homo sapiens,single-cell immune profiling,responder versus nonresponder,immunotherapy responders|immunotherapy nonresponders,immunotherapy,,,,Response-stratified single-cell studies are widely used to investigate immunotherapy in lung cancer,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C06,complex,melanoma,peripheral blood,immune cells,Homo sapiens,single-cell transcriptomics,longitudinal repeated sampling,before immune-checkpoint blockade|during immune-checkpoint blockade,immune-checkpoint blockade,,,,Peripheral blood permits repeated sampling during immune-checkpoint therapy,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C07,complex,,iPSC-derived cardiomyocyte culture,induced pluripotent stem cells|cardiomyocytes,Homo sapiens,RNA-seq,time-series differentiation,multiple differentiation time points,30-day cardiomyocyte differentiation,,,,Cardiomyocyte differentiation protocols commonly include multiple transcriptomic time points,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C08,complex,acetaminophen exposure,liver organoids,liver-organoid cells,,transcriptomics,dose-response,multiple acetaminophen doses,acetaminophen exposure at multiple doses,,,,Organoids are established models for dose-dependent drug-response transcriptomics,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C09,complex,colorectal cancer,colorectal-cancer organoids,tumor-organoid cells,Homo sapiens,single-cell transcriptomics,CRISPR perturbation,TP53 knockout|non-targeting or wild-type control,after TP53 knockout,,,,CRISPR-edited cancer organoids are commonly used for perturbational transcriptomic studies,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C10,complex,,gut|liver|lung,immune cells,,single-cell RNA-seq,multi-tissue comparison,gut immune cells|liver immune cells|lung immune cells,,,,,Multi-tissue atlases can support direct comparison of immune-cell states across organs,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C11,complex,rheumatoid arthritis,,macrophages|T cells,Homo sapiens,single-cell RNA-seq,multi-cell-type comparison,macrophages|T cells,,,,,Single-cell rheumatoid-arthritis studies commonly contain multiple immune and stromal populations,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C12,complex,Alzheimer's disease,brain,microglia,Homo sapiens|Mus musculus,single-cell RNA-seq,cross-species comparison,human microglia|mouse microglia,,,,,Human and mouse Alzheimer's disease models are often compared to assess conservation of microglial states,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C13,complex,type 2 diabetes|metabolic dysfunction-associated steatotic liver disease,liver tissue,,Homo sapiens,single-nucleus RNA-seq,dual-disease comorbidity profiling,,,,,,Liver single-nucleus studies can characterize cell states in metabolically comorbid patient cohorts,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C14,complex,pancreatic ductal adenocarcinoma,pancreatic tumor,tumor and microenvironment cells,,single-cell RNA-seq|spatial transcriptomics,integrated multi-omics,,,,,,PDAC heterogeneity is frequently studied by integrating dissociated and spatial transcriptomes,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C15,complex,HER2-positive breast cancer,breast tumor,,Homo sapiens,spatial transcriptomics|hematoxylin-and-eosin histology,co-registered spatial transcriptome and histology,,,,,,Co-registered H&E and spatial transcriptomics are standard components of spatial-tissue workflows,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C16,complex,,peripheral blood,peripheral-blood mononuclear cells,Homo sapiens,single-cell RNA-seq,age- and sex-stratified atlas,multiple age strata|male and female participants,,,,,Large PBMC atlases commonly include donor age and sex metadata,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C17,complex,non-small-cell lung cancer,lung tumor,tumor and microenvironment cells,Homo sapiens,single-cell transcriptomics,molecular exclusion cohort,,,EGFR-mutant tumor|ALK-rearranged tumor,,,Driver-negative NSCLC cohorts are clinically meaningful molecular strata,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C18,complex,multiple myeloma,bone marrow,immune cells,Homo sapiens,single-cell immune profiling,newly diagnosed treatment-naive cohort,,before systemic therapy,prior anti-myeloma treatment,,,Treatment-naive diagnosis samples are commonly collected before therapy in multiple-myeloma studies,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C19,complex,clear-cell renal-cell carcinoma,kidney tumor|adjacent normal kidney,,Homo sapiens,single-nucleus RNA sequencing,within-patient paired sampling,clear-cell renal-cell carcinoma|matched adjacent normal kidney,,,,,Matched tumor and adjacent kidney samples are a common renal-cancer study design,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
C20,complex,triple-negative breast cancer,breast tumor,spatially defined tumor and microenvironment cells,Homo sapiens,spatial transcriptomics,cellular-neighborhood and ligand-receptor analysis,,,,,,Spatial transcriptomics can support neighborhood and ligand-receptor analyses in heterogeneous breast tumors,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
