qid,axis,difficulty,abbrev_under_test,must_not_contain,design_intent,failure_mode,pass_criteria,known_good_accessions,source
hard_abbrev_tcga_abbr_luad_lusc_coad_prad_multi,abbrev_tcga,extreme,LUAD=lung adenocarcinoma;LUSC=lung squamous cell carcinoma;COAD=colon adenocarcinoma;PRAD=prostate adenocarcinoma,,comparative,"L2 + L5 cardinality: four TCGA codes at once must ALL be expanded (LUAD/LUSC/COAD/PRAD) and the pan-cancer intent means results should jointly cover these four distinct carcinomas, not collapse to whichever code happens to embed strongest (LUAD usually dominates). Trap: LUSC vs LUAD are one letter apart and frequently conflated into generic 'lung cancer'; COAD/PRAD get dropped entirely if only the first code is expanded.","All four codes expanded to their carcinomas; top results collectively span lung adeno, lung squamous, colon adeno, and prostate adeno scRNA-seq rather than only lung.",,generated_2026_06_12
hard_abbrev_ambiguous_ambig_ad_alzheimer,abbrev_ambiguous,hard,AD=Alzheimer's disease,,none,"L3 ambiguous abbreviation: 'AD' = Alzheimer's disease vs atopic dermatitis. Disambiguating context here (hippocampus, amyloid-beta, tau, aged brain, snRNA-seq) forces the NEUROLOGICAL sense. Trap: system may expand AD to atopic dermatitis and return skin/eczema datasets, or leave AD unexpanded and miss Alzheimer-tagged records that never spell out the abbreviation. Contrast partner: ambig_ad_atopic.",Top results are Alzheimer's-disease brain/hippocampus single-nucleus datasets (MONDO:0004975). Must NOT surface atopic-dermatitis/skin datasets despite the shared 'AD' token.,,generated_2026_06_12
hard_abbrev_ambiguous_ambig_ad_atopic,abbrev_ambiguous,hard,AD=atopic dermatitis,,none,"L3 ambiguous abbreviation: 'AD' = atopic dermatitis vs Alzheimer's disease. Disambiguating context (lesional skin biopsy, skin barrier, filaggrin, eczema) forces the DERMATOLOGY sense. Trap: 'AD' is far more frequently expanded to Alzheimer's in neuro-heavy corpora, so the system may return brain datasets. Contrast partner: ambig_ad_alzheimer.","Top results are atopic-dermatitis lesional-skin RNA-seq datasets (MONDO:0011292, UBERON:0002097). Must NOT surface Alzheimer's/brain/hippocampus datasets.",,generated_2026_06_12
hard_abbrev_ambiguous_ambig_ms_disease,abbrev_ambiguous,hard,MS=multiple sclerosis,,none,"L3 ambiguous abbreviation: 'MS' = multiple sclerosis (disease) vs mass spectrometry (a proteomics MODALITY). Disambiguating context (relapsing-remitting, demyelinating, CSF, white-matter lesions, scRNA-seq) forces the DISEASE sense. Trap: system may collapse MS to a mass-spec modality filter and return proteomics datasets, or mix the two senses. Contrast partner: ambig_ms_proteomics.","Top results are multiple-sclerosis CSF/immune single-cell datasets (MONDO:0005301). Modality must remain transcriptomic (scRNA-seq), NOT mass-spectrometry proteomics.",,generated_2026_06_12
hard_abbrev_ambiguous_ambig_ms_proteomics,abbrev_ambiguous,hard,MS=mass spectrometry,multiple sclerosis;demyelinat,none,"L3 ambiguous abbreviation: 'MS' = mass spectrometry (proteomics modality) vs multiple sclerosis (disease). Context (LC-MS/MS, plasma proteomics, label-free quantification) forces the MASS-SPECTROMETRY/proteomics sense. Trap: a disease-biased expander may inject 'multiple sclerosis' and return MS-patient datasets. must_not_contain guards against the neurological sense leaking in. Contrast partner: ambig_ms_disease.",Top results are mass-spectrometry plasma proteomics datasets (modality=proteomics). Must NOT contain multiple-sclerosis / demyelinating-disease datasets.,,generated_2026_06_12
hard_abbrev_ambiguous_ambig_cd_crohn,abbrev_ambiguous,hard,CD=Crohn's disease,,none,"L3 ambiguous abbreviation: 'CD' = Crohn's disease vs cluster-of-differentiation marker (CD4/CD8/CD45 → cell-type facet). Context (inflamed ileal mucosa, transmural inflammation, granuloma) forces the DISEASE sense. Trap: tokenizer may read 'CD' as a generic CD-marker and route to a cell-type filter, or fail to expand to Crohn's. Contrast partner: ambig_cd_marker.",Top results are Crohn's-disease intestinal-mucosa single-cell datasets (MONDO:0005011). Must NOT be driven by a generic CD-surface-marker interpretation.,,generated_2026_06_12
hard_abbrev_ambiguous_ambig_cd_marker,abbrev_ambiguous,hard,CD=cluster of differentiation (CD8 surface marker),crohn;ileum;colitis,none,"L3 ambiguous abbreviation: 'CD' (in CD8) = cluster-of-differentiation surface marker → cell-type facet, vs Crohn's disease. Context (sorted CD8-positive cytotoxic T cells, CITE-seq surface marker panel, healthy donor) forces the MARKER/cell-type sense. Trap: a disease-biased expander may read 'CD' as Crohn's and return IBD gut datasets. must_not_contain guards against the disease sense. Contrast partner: ambig_cd_crohn.",Top results are healthy-donor CD8 T-cell CITE-seq datasets (cell_type CL:0000794). Must NOT contain Crohn's/colitis/ileum datasets.,,generated_2026_06_12
hard_exclusion_extended_excl_tx_naive_nsclc,exclusion_extended,hard,,neoadjuvant;post-chemotherapy;post-treatment;prior chemotherapy;pretreated;pembrolizumab;nivolumab;post-immunotherapy;relapsed;refractory;after radiotherapy;on-treatment,none,"L4 treatment-naive exclusion: 'treatment-naive' shares tokens with 'treatment', so dense retrieval pulls in treated/neoadjuvant/post-therapy NSCLC cohorts. System must EXCLUDE any dataset where tumors were exposed to chemo/radio/immunotherapy before sampling, not just match on 'NSCLC RNA-seq'.","top-5 are all NSCLC bulk RNA-seq where tumors are explicitly treatment-naive/chemo-naive at sampling; ZERO results describe neoadjuvant, post-treatment, relapsed/refractory, or specific drug-exposed tumors (none of must_not_contain present in matched fields).",,generated_2026_06_12
hard_exclusion_extended_excl_adult_only_aml,exclusion_extended,hard,,pediatric;paediatric;neonatal;infant;childhood;child;juvenile;newborn;congenital,none,"L4 demographic exclusion: 'acute myeloid leukemia bone marrow' is dominated in corpus by large pediatric AML cohorts (TARGET etc.); the 'adult-only, excluding pediatric/neonatal' constraint is an age-attribute filter that semantic search ignores. Must drop any dataset whose subjects are children/infants.",top-5 are adult AML bone-marrow scRNA-seq datasets only; no dataset whose cohort is pediatric/childhood/neonatal/infant AML appears (none of must_not_contain in matched metadata).,,generated_2026_06_12
hard_exclusion_extended_excl_t2d_no_cvd,exclusion_extended,extreme,,cardiovascular disease;coronary artery disease;myocardial infarction;heart failure;atherosclerosis;hypertension;stroke;ischemic heart;cardiac comorbidity,case_control,"L4 comorbidity exclusion (hardest variant): T2D and cardiovascular disease are heavily co-mentioned in metadata because they are clinically linked, so retrieval surfaces datasets that explicitly include CVD comorbidity. The query demands the OPPOSITE — T2D cohorts where CVD is an exclusion criterion. Negation over a strongly correlated comorbidity term.",top-5 are T2D pancreatic-islet transcriptomics where subjects have no cardiovascular comorbidity (or CVD is an explicit exclusion criterion); ZERO datasets mention CVD/coronary/MI/heart-failure as a present subject condition.,,generated_2026_06_12
hard_exclusion_extended_excl_nonalcoholic_masld,exclusion_extended,hard,,alcoholic liver disease;alcoholic hepatitis;alcohol-related;alcohol-associated;alcohol consumption;ethanol;ald;heavy drinker,none,"L4 substance exclusion + lexical trap: 'non-alcoholic' contains the substring 'alcoholic', so token-level BM25 and dense search both pull alcoholic liver disease (ALD) / alcoholic hepatitis datasets to the top. The negation prefix MUST be honored; alcohol-related steatohepatitis cohorts must be excluded even though they share fatty-liver vocabulary.",top-5 are NAFLD/MASLD/NASH liver RNA-seq with explicitly non-alcoholic etiology; ZERO alcoholic liver disease / alcoholic hepatitis / alcohol-exposure datasets (none of must_not_contain present).,,generated_2026_06_12
hard_exclusion_extended_excl_healthy_controls_only,exclusion_extended,medium,,patient;tumor;tumour;cancer;carcinoma;disease cohort;case-control;vs healthy;compared to healthy;diseased,none,"L4 control-only exclusion: most PBMC scRNA-seq datasets in the corpus are disease-vs-healthy case-control studies that mention 'healthy controls' as one arm. The query wants datasets composed ONLY of healthy donors (reference atlases), so a dataset that contains both patients and healthy controls must be EXCLUDED despite matching 'healthy control PBMC scRNA-seq'.",top-5 are PBMC scRNA-seq datasets consisting solely of healthy/normal donors (reference/baseline); ZERO datasets that also include patient/disease arms (none of must_not_contain in matched description).,,generated_2026_06_12
hard_exclusion_extended_excl_female_only_breast,exclusion_extended,hard,,male breast cancer;male patient;men;male subject;male donor;xy karyotype;both sexes;mixed sex,none,"L4 sex-specific exclusion: 'breast cancer' retrieval mostly returns female cohorts but the corpus also has male breast cancer (MBC) and mixed-sex studies; the explicit 'female-only, excluding male' constraint is a subject-sex attribute filter that semantic similarity ignores. Any dataset including male subjects must be dropped.",top-5 are breast cancer spatial transcriptomics with female-only cohorts; ZERO male breast cancer or mixed-sex datasets appear (none of must_not_contain present in matched metadata).,,generated_2026_06_12
hard_cardinality_and_csf_blood_paired_ms,cardinality_and,hard,,,paired,"L1+L5: paired-biofluid same-subject. System historically returns datasets with EITHER CSF OR blood (single-compartment MS studies are abundant) but not the same-subject CSF+blood pair. Pass requires BOTH compartments from the same individuals, not either alone.","Top results MUST be a single dataset containing BOTH cerebrospinal fluid AND peripheral blood from the SAME subjects (paired/matched), not a CSF-only or blood-only MS dataset. Both UBERON:0001359 and UBERON:0001256 must co-occur in the same study.",,generated_2026_06_12
hard_cardinality_and_saliva_plasma_paired_proteomics,cardinality_and,hard,,,paired,L1+L5: paired-biofluid same-subject across two body fluids (saliva + plasma). Dense retrieval tends to anchor on 'proteomics' + 'cancer' and return single-fluid plasma proteomics; the saliva arm gets dropped. Conjunction of two distinct biofluids from the same subject is the trap.,Top results MUST be a dataset where BOTH saliva (UBERON:0001836) AND blood plasma (UBERON:0001969) are profiled from the SAME patients. A plasma-only or saliva-only proteomics study does NOT satisfy the conjunction.,,generated_2026_06_12
hard_cardinality_and_tumor_adjacent_normal_paired_crc,cardinality_and,medium,,,paired,"L1+L5: tumor vs patient-matched adjacent-normal pairing. The trap is that the system returns tumor-only cohorts or unmatched tumor-vs-healthy-donor comparisons; the requirement is the SAME-PATIENT tumor+adjacent-normal pair (a within-subject paired design), which is easily collapsed to a generic tumor RNA-seq hit.","Top results MUST contain BOTH tumor AND patient-matched adjacent-normal tissue from the SAME individuals. A tumor-only dataset, or tumor compared to unrelated healthy donors, fails the paired conjunction.",,generated_2026_06_12
hard_cardinality_and_multi_organ_heart_kidney_liver_sepsis,cardinality_and,extreme,,,comparative,"L5: three-way organ conjunction (heart AND kidney AND liver) from the SAME donor. This is the hardest cardinality case — the OR-collapse risk multiplies with each added facet, so the system returns single-organ sepsis studies (kidney-only AKI, liver-only) instead of the all-three-organ same-donor design.",Top results MUST be a dataset profiling ALL THREE organs (heart UBERON:0000948 AND kidney UBERON:0002113 AND liver UBERON:0002107) from the SAME donors. A dataset with only one or two of the three organs fails the multi-AND requirement.,,generated_2026_06_12
hard_cardinality_and_trimodal_same_sample_scrna_scatac_cite,cardinality_and,extreme,PBMC=peripheral blood mononuclear cell;SLE=systemic lupus erythematosus,,multi_omics,"L5 (+L2 for PBMC/SLE): tri-modal SAME-SAMPLE conjunction. Requires all three single-cell modalities measured on the SAME cells, not three separate assays on different aliquots. The system tends to return a single-modality scRNA-seq lupus study; the AND across three co-assayed modalities is the trap.","Top results MUST be a dataset co-assaying ALL THREE modalities (scRNA-seq AND scATAC-seq AND CITE-seq) on the SAME single cells/nuclei. A dataset offering only one or two of these modalities, or three modalities on separate samples, fails the same-sample tri-modal conjunction.",,generated_2026_06_12
hard_cardinality_and_celltype_tissue_disease_triple_treg_liver_pbc,cardinality_and,hard,PBC=primary biliary cholangitis;Treg=regulatory T cell,,comparative,"L5 (+L2 for PBC): triple constraint cell-type AND tissue AND disease must ALL hold in one dataset (Treg ∧ liver ∧ PBC). The system relaxes the conjunction — returning blood Tregs, or liver scRNA-seq without the Treg focus, or generic autoimmune-liver studies — instead of the intersection of all three facets.","Top results MUST satisfy ALL THREE: regulatory T cells (CL:0000815) AND liver tissue (UBERON:0002107) AND primary biliary cholangitis. Blood-derived Tregs, non-Treg liver scRNA-seq, or PBC studies lacking the Treg+liver focus do NOT satisfy the triple conjunction.",,generated_2026_06_12
hard_lessons_wildcard_gene_org_tp53_mouse,lessons_wildcard,hard,,,comparative,"L2-adjacent gene+species parsing trap: 'Trp53' is the MOUSE ortholog symbol (human is TP53). System must keep the species-specific gene casing/spelling, bind organism=mouse, and not collapse Trp53->TP53->human. Distinct from existing foxg1a/zebrafish gold (hard_q13).","top-5 includes >=1 dataset with mouse + Trp53/p53 KO + ATAC-seq + organoid/intestine; results must be mouse (10090), not human TP53 studies",,generated_2026_06_12
hard_lessons_wildcard_rare_modality_cutandrun,lessons_wildcard,extreme,,,multi_omics,"Rare-modality combo trap: 'CUT&RUN' and 'CUT&Tag' contain the ampersand which tokenizers often split/drop, and both can be mis-mapped to generic ChIP-seq. Must keep these as distinct low-frequency modalities rather than coercing to ChIP-seq.",top-5 includes >=1 dataset explicitly tagged CUT&RUN or CUT&Tag (not plain ChIP-seq) + H3K27me3 + ESC; ampersand modality preserved,,generated_2026_06_12
hard_lessons_wildcard_rare_modality_perturbseq,lessons_wildcard,hard,,,multi_omics,"Rare-modality trap: 'Perturb-seq' (a.k.a. CROP-seq/CRISPRi screen with scRNA readout) is low-frequency and easily reduced to plain scRNA-seq, dropping the CRISPR-perturbation design. Hyphen+'seq' token also splits poorly.",top-5 includes >=1 dataset with Perturb-seq / pooled CRISPR + single-cell readout + iPSC neurons; perturbation design not lost,,generated_2026_06_12
hard_lessons_wildcard_healthy_control_required,lessons_wildcard,hard,UC=ulcerative colitis;IBD=inflammatory bowel disease,,case_control,"Explicit-healthy-control trap (L5-adjacent conjunction): the 'must include healthy control' constraint is routinely dropped, returning UC-only cohorts. System must require BOTH disease arm AND a healthy/normal control arm in the same study.",top-5 includes >=1 dataset with UC colonic mucosa AND an explicit healthy/normal control group in the same study; UC-only datasets do not satisfy,,generated_2026_06_12
hard_lessons_wildcard_cross_species_same_disease_synonym,lessons_wildcard,extreme,ESCC=esophageal squamous cell carcinoma,,cross_species,"Combined trap: (a) British/American spelling 'oesophageal'/'oesophagus'/'tumour' must match US 'esophageal'/'esophagus'/'tumor' indexed corpus; (b) cross-species same-disease requires BOTH human (9606) AND mouse (10090) of the SAME disease, not either alone.",top-5 includes >=1 human ESCC scRNA-seq AND >=1 mouse esophageal SCC model (or one dataset spanning both); spelling variants oesophagus/tumour resolved,,generated_2026_06_12
hard_lessons_wildcard_longitudinal_explicit_timepoints,lessons_wildcard,hard,,,longitudinal,Temporal/longitudinal trap with explicit timepoints (day 0/3/7): system tends to ignore the multi-timepoint sampling constraint and return single-timepoint cross-sectional muscle studies. Must require a true time-course design with >=3 timepoints in the same subjects.,"top-5 includes >=1 dataset with skeletal muscle + exercise + a longitudinal time-course (multiple post-exercise timepoints, ideally day 0/3/7); single-timepoint studies do not satisfy",,generated_2026_06_12
compound_2026_06_04_001,paired_multi_tissue,hard,,,paired,compound query gap (paired_multi_tissue),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_002,paired_multi_tissue,hard,,,paired,compound query gap (paired_multi_tissue),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_003,celltype_x_tissue,hard,,,comparative,compound query gap (celltype_x_tissue),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_004,celltype_x_tissue,hard,,,comparative,compound query gap (celltype_x_tissue),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_005,negation,hard,,smoker;smoking;cigarette;tobacco,none,compound query gap (negation),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_006,negation,hard,,chemotherapy;immunotherapy,none,compound query gap (negation),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_007,multi_organism,hard,,,cross_species,compound query gap (multi_organism),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_008,multi_organism,hard,,,cross_species,compound query gap (multi_organism),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_009,multi_omics,hard,,,multi_omics,compound query gap (multi_omics),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_010,multi_omics,hard,,,multi_omics,compound query gap (multi_omics),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_011,dual_disease,hard,,,case_control,compound query gap (dual_disease),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_012,dual_disease,hard,,,case_control,compound query gap (dual_disease),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_013,longitudinal,hard,,,longitudinal,compound query gap (longitudinal),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
compound_2026_06_04_014,dose_response,hard,,,dose_response,compound query gap (dose_response),facet present in top-10; conjunctive for paired/multi,,compound_2026_06_04
